2022-03-07 17:43:39,615: Key.esc
2022-03-07 17:43:42,828: Key.shift
2022-03-07 17:43:42,990: 'T'
2022-03-07 17:43:43,117: 'h'
2022-03-07 17:43:43,179: 'i'
2022-03-07 17:43:43,308: 's'
2022-03-07 17:43:43,419: Key.space
2022-03-07 17:43:43,612: 'i'
2022-03-07 17:43:43,707: 's'
2022-03-07 17:43:43,812: Key.space
2022-03-07 17:43:44,100: 'y'
2022-03-07 17:43:44,252: 'e'
2022-03-07 17:43:44,388: 't'
2022-03-07 17:43:44,503: Key.space
2022-03-07 17:43:45,975: 'a'
2022-03-07 17:43:46,052: 'n'
2022-03-07 17:43:46,126: 'o'
2022-03-07 17:43:46,228: 't'
2022-03-07 17:43:46,340: 'h'
2022-03-07 17:43:46,468: 'e'
2022-03-07 17:43:46,572: 'r'
2022-03-07 17:43:46,630: Key.space
2022-03-07 17:43:47,300: 't'
2022-03-07 17:43:47,843: 'e'
2022-03-07 17:43:48,128: 's'
2022-03-07 17:43:48,284: 't'
2022-03-07 17:46:28,813: 'g'
2022-03-07 17:46:28,902: 'i'
2022-03-07 17:46:29,014: 't'
2022-03-07 17:46:29,127: Key.space
2022-03-07 17:46:29,255: 'a'
2022-03-07 17:46:29,421: 'd'
2022-03-07 17:46:29,572: 'd'
2022-03-07 17:46:29,748: Key.space
2022-03-07 17:46:29,897: '.'
2022-03-07 17:46:30,427: Key.enter
2022-03-07 17:46:39,948: 'g'
2022-03-07 17:46:40,020: 'i'
2022-03-07 17:46:40,252: 'r'
2022-03-07 17:46:40,276: 't'
2022-03-07 17:46:40,839: Key.backspace
2022-03-07 17:46:41,004: Key.backspace
2022-03-07 17:46:41,637: 't'
2022-03-07 17:46:41,771: Key.space
2022-03-07 17:46:42,555: 'c'
2022-03-07 17:46:42,627: 'o'
2022-03-07 17:46:42,803: 'm'
2022-03-07 17:46:42,972: 'm'
2022-03-07 17:46:43,123: 'i'
2022-03-07 17:46:43,283: 't'
2022-03-07 17:46:43,395: Key.enter
2022-03-07 17:46:51,747: Key.shift
2022-03-07 17:46:52,248: Key.shift
2022-03-07 17:46:52,293: Key.shift
2022-03-07 17:46:52,324: Key.shift
2022-03-07 17:46:52,355: Key.shift
2022-03-07 17:46:52,386: Key.shift
2022-03-07 17:46:52,417: Key.shift
2022-03-07 17:46:52,450: Key.shift
2022-03-07 17:46:52,478: Key.shift
2022-03-07 17:47:07,662: Key.enter
2022-03-07 17:47:09,403: Key.down
2022-03-07 17:47:09,667: Key.down
2022-03-07 17:47:10,621: Key.down
2022-03-07 17:47:11,124: Key.down
2022-03-07 17:47:11,155: Key.down
2022-03-07 17:47:11,202: Key.down
2022-03-07 17:47:11,233: Key.down
2022-03-07 17:47:11,264: Key.down
2022-03-07 17:47:11,295: Key.down
2022-03-07 17:47:11,326: Key.down
2022-03-07 17:47:11,357: Key.down
2022-03-07 17:47:11,388: Key.down
2022-03-07 17:47:11,419: Key.down
2022-03-07 17:47:11,465: Key.down
2022-03-07 17:47:11,496: Key.down
2022-03-07 17:47:11,527: Key.down
2022-03-07 17:47:11,558: Key.down
2022-03-07 17:47:11,588: Key.down
2022-03-07 17:47:11,618: Key.down
2022-03-07 17:47:11,650: Key.down
2022-03-07 17:47:15,293: Key.enter
2022-03-07 17:47:31,956: 'g'
2022-03-07 17:47:32,092: 'i'
2022-03-07 17:47:32,220: 't'
2022-03-07 17:47:32,320: Key.space
2022-03-07 17:47:32,588: 's'
2022-03-07 17:47:32,812: 't'
2022-03-07 17:47:33,126: 'a'
2022-03-07 17:47:33,390: 't'
2022-03-07 17:47:33,579: 'u'
2022-03-07 17:47:33,924: 's'
2022-03-07 17:47:33,996: Key.enter
2022-03-07 17:47:39,636: 'g'
2022-03-07 17:47:39,753: 'i'
2022-03-07 17:47:44,588: 't'
2022-03-07 17:47:46,247: Key.space
2022-03-07 17:47:48,531: 'r'
2022-03-07 17:47:48,603: 'e'
2022-03-07 17:47:48,829: 's'
2022-03-07 17:47:49,056: 't'
